id,name,team,role,battingStyle,bowlingStyle
25c73eb6,A Aitken,Scotland,Bowler,,
a1abb3a2,AJ Drummond,Scotland,Unknown,,
0d90c81c,AM Smith,Unknown,Unknown,,
b3020075,B de Leede,Netherlands,Batsman,,
4eebb3e5,CC van Slobbe,Netherlands,Batsman,,
6dde8e45,CG Steenstra Toussaint,Netherlands,Batsman,,
1b61a9fa,DM Braat,Netherlands,Batsman,,
1806d310,EE Corder,Netherlands,Batsman,,
b26dafe7,EM Priddle,Scotland,Unknown,,
6d48df01,HDJ Siegers,Netherlands,Batsman,,
e21b8cb5,HW Rambaldo,Netherlands,Batsman,,
78f4d252,IAF Bevers,Unknown,Unknown,,
bba7558e,K McGill,Scotland,Bowler,,
f13d3eba,KE Bryce,Scotland,Bowler,,
00823a96,KL Gordon,Scotland,Bowler,,
53c738ac,L Klokgieters,Netherlands,Batsman,,
3733a317,M Veringmeier,Netherlands,Batsman,,
61ff8dd7,OSM Rae,Scotland,Batsman,,
8e7be59c,PA Chatterji,Scotland,Bowler,,
2dc78362,RV Scholes,Scotland,Bowler,,
35230fa3,S Haggo,Scotland,Bowler,,
9a58f2c8,S Siegers,Netherlands,Batsman,,
2ca65aee,SJ Bryce,Scotland,Batsman,,
2b150c6b,SL Kalis,Netherlands,Batsman,,
fe0c5457,H Hameed,England,Batsman,,
b5da6c24,PA Patel,India,Batsman,,
d7867306,NN Menon,Unknown,Unknown,,
96fd40ae,A Nehra,India,Bowler,,
2efc430e,AY Dandekar,Unknown,Unknown,,
9170ff49,Parvez Rasool,India,Batsman,,
1dc12ab9,SK Raina,India,Batsman,,
919a3be2,RR Pant,India,Batsman,,
b05e45e4,AE Jones,Loughborough Lightning,Batsman,,
fb192f98,BA Langston,Loughborough Lightning,Bowler,,
524a3a82,BJ Debenham,Unknown,Unknown,,
10ca46df,C O'Keefe,Western Storm,Unknown,,
971cb321,E Jones,Loughborough Lightning,Unknown,,
a28132bd,FC Wilson,Western Storm,Batsman,,
2479daa6,FR Davies,Western Storm,Bowler,,
287ed3a0,GA Elwiss,Loughborough Lightning,Batsman,,
8d742853,GM Hennessy,Western Storm,Batsman,,
6e8b586a,JM Dibble,Western Storm,Bowler,,
7b01ce83,L Lee,Western Storm,Batsman,,
588360ee,PJ Scholfield,Loughborough Lightning,Batsman,,
c4e8d728,SB Odedra,Loughborough Lightning,Bowler,,
e19307f3,SN Luff,Western Storm,Batsman,,
45135344,TF Brookes,Loughborough Lightning,Batsman,,
75169b8c,Tom Lungley,Unknown,Unknown,,
053dc208,A Brindle,Southern Vipers,Bowler,,
290af2b3,CE Rudd,Southern Vipers,Unknown,,
3cfb1554,Chris Watts,Unknown,Unknown,,
7b1f2542,GL Adams,Southern Vipers,Batsman,,
e69dbbef,KL George,Southern Vipers,Unknown,,
340202b0,LCN Smith,Southern Vipers,Bowler,,
923b0e02,LS Greenway,Southern Vipers,Batsman,,
15f609ed,NE Farrant,Southern Vipers,Bowler,,
9d1c62d7,RJ Warren,Unknown,Unknown,,
81d06fb5,CJ Sayers,South Australia,Bowler,,
5dcd864f,JD Dalton,South Australia,Batsman,,
70c4f525,JM Holland,Victoria,Batsman,,
666936de,TJ Dean,Victoria,Batsman,,
0d518f89,A Khaka,South Africa,Batsman,,
14baca9f,A Steyn,South Africa,Batsman,,
4d4605e6,CL Tryon,South Africa,Batsman,,
6e96c956,Fargana Hoque,Bangladesh,Batsman,,
752183c1,Jahanara Alam,Bangladesh,Bowler,,
bec997fc,Khadija Tul Kubra,Bangladesh,Bowler,,
16443d2f,M Daniels,South Africa,Bowler,,
e219f17a,M du Preez,South Africa,Batsman,,
7544bf30,MM Letsoalo,South Africa,Bowler,,
3275b68b,Mahfuzur Rahman,Unknown,Unknown,,
66078174,Nahida Akter,Bangladesh,Bowler,,
3827f6a2,Nigar Sultana,Bangladesh,Batsman,,
0725d3d2,O Kirsten,Unknown,Bowler,,
005f0561,Panna Ghosh,Bangladesh,Bowler,,
a92763ea,Rumana Ahmed,Bangladesh,Bowler,,
34304210,S Jafta,South Africa,Batsman,,
6d76bc23,S Luus,South Africa,Batsman,,
037f2b86,Salma Khatun,Bangladesh,Bowler,,
b76fd014,Shaila Sharmin,Bangladesh,Bowler,,
84fdd3cf,Sharmin Akhter,Bangladesh,Batsman,,
4e017436,Sharmin Sultana,Bangladesh,Batsman,,
ea2df1f1,Tanvir Ahmed,Unknown,Unknown,,
5bf87532,Lata Mondal,Bangladesh,Batsman,,
ebe27221,Y Fourie,South Africa,Bowler,,
bd17b45f,STR Binny,India,Unknown,,
dcf0e8f4,A Bosch,South Africa,Bowler,,
58dc96cc,D Devnarain,South Africa,Batsman,,
fa8f9dc3,KM Beams,Australia,Bowler,,
0bb32e98,L Goodall,South Africa,Batsman,,
ce85fcaf,M Klaas,South Africa,Bowler,,
ae2c396f,AM Peterson,New Zealand,Batsman,,
0de3060f,EC Perry,New Zealand,Batsman,,
180240d4,EM Bermingham,New Zealand,Bowler,,
8d6b36e3,HR Huddleston,New Zealand,Bowler,,
cf75a839,KJ Martin,New Zealand,Batsman,,
78ad3258,KT Perkins,New Zealand,Batsman,,
9b73d523,LM Kasperek,New Zealand,Bowler,,
865eae1f,ML Green,New Zealand,Batsman,,
7673c908,AC Kerr,New Zealand,Batsman,,
ac56b5a7,AC Jayangani,Sri Lanka,Batsman,,
b55fb828,BMSM Kumari,Sri Lanka,Batsman,,
6edcff70,HIS Mendis,Sri Lanka,Batsman,,
a61850e6,I Ranaweera,Sri Lanka,Batsman,,
a0fdf513,KDU Prabodhani,Sri Lanka,Batsman,,
8b552293,LE Kaushalya,Sri Lanka,Batsman,,
3f440bd6,MADD Surangika,Sri Lanka,Batsman,,
